Date,Power_kW,temp_C,solarRad_W/m2,Day_of_week,Hour_of_day,Power-1,HDH
2019-01-06 05:00:00,90.98,7.475833333333333,5.145333333333333,6,5,93.76,19.524166666666666
2019-01-06 06:00:00,90.977,7.212833333333333,4.051583333333333,6,6,90.98,19.787166666666668
2019-01-06 07:00:00,91.644,6.802416666666667,5.106,6,7,90.977,20.197583333333334
2019-01-06 08:00:00,92.196,6.531833333333334,67.02583333333332,6,8,91.644,20.468166666666665
2019-01-06 09:00:00,99.015,5.526083333333333,220.325,6,9,92.196,21.473916666666668
2019-01-06 10:00:00,92.514,7.128166666666666,358.44166666666666,6,10,99.015,19.871833333333335
2019-01-06 11:00:00,94.695,8.849166666666667,454.1,6,11,92.514,18.15083333333333
2019-01-06 12:00:00,93.043,9.615,496.2083333333333,6,12,94.695,17.384999999999998
2019-01-06 13:00:00,93.234,10.9575,479.0583333333333,6,13,93.043,16.0425
2019-01-06 14:00:00,97.325,13.3925,405.8,6,14,93.234,13.6075
2019-01-06 15:00:00,93.096,15.214166666666666,282.46666666666664,6,15,97.325,11.785833333333334
2019-01-06 16:00:00,95.366,12.8025,129.15166666666667,6,16,93.096,14.1975
2019-01-06 17:00:00,96.512,11.810833333333331,11.941416666666669,6,17,95.366,15.189166666666669
2019-01-06 18:00:00,96.753,11.7325,3.67,6,18,96.512,15.2675
2019-01-06 19:00:00,98.831,11.465000000000002,3.2426666666666666,6,19,96.753,15.534999999999998
2019-01-06 20:00:00,95.833,10.983333333333334,4.191333333333334,6,20,98.831,16.016666666666666
2019-01-06 21:00:00,94.913,10.465,1.7308333333333332,6,21,95.833,16.535
2019-01-06 22:00:00,92.652,10.1275,1.3270833333333334,6,22,94.913,16.872500000000002
2019-01-06 23:00:00,93.395,10.105,1.401,6,23,92.652,16.895
2019-01-07 00:00:00,95.653,9.751666666666669,2.432916666666667,0,0,93.395,17.24833333333333
2019-01-07 01:00:00,93.579,10.075833333333334,1.3804166666666664,0,1,95.653,16.924166666666665
2019-01-07 02:00:00,91.471,9.1775,1.5051666666666668,0,2,93.579,17.822499999999998
2019-01-07 03:00:00,92.625,7.7475,1.7915,0,3,91.471,19.2525
2019-01-07 04:00:00,91.793,7.864999999999999,1.3573333333333333,0,4,92.625,19.135
2019-01-07 05:00:00,94.645,8.191666666666666,1.1011666666666666,0,5,91.793,18.808333333333334
2019-01-07 06:00:00,97.566,6.998,1.5236666666666665,0,6,94.645,20.002
2019-01-07 07:00:00,143.838,7.15575,2.58975,0,7,97.566,19.84425
2019-01-07 08:00:00,181.068,7.5,71.9675,0,8,143.838,19.5
2019-01-07 09:00:00,229.874,8.189166666666667,227.0583333333333,0,9,181.068,18.810833333333335
2019-01-07 10:00:00,278.346,10.104166666666666,366.275,0,10,229.874,16.895833333333336
2019-01-07 11:00:00,290.747,11.320833333333333,462.8416666666666,0,11,278.346,15.679166666666667
2019-01-07 12:00:00,281.961,12.368333333333334,505.0416666666667,0,12,290.747,14.631666666666666
2019-01-07 13:00:00,269.307,13.253333333333332,486.51666666666665,0,13,281.961,13.746666666666668
2019-01-07 14:00:00,286.461,13.871666666666668,413.375,0,14,269.307,13.128333333333332
2019-01-07 15:00:00,286.699,14.714166666666666,290.8,0,15,286.461,12.285833333333334
2019-01-07 16:00:00,278.304,14.639166666666668,135.9425,0,16,286.699,12.360833333333332
2019-01-07 17:00:00,267.387,14.320833333333333,12.228666666666667,0,17,278.304,12.679166666666667
2019-01-07 18:00:00,231.062,14.526666666666666,1.246,0,18,267.387,12.473333333333334
2019-01-07 19:00:00,184.682,14.428333333333333,0.8215,0,19,231.062,12.571666666666667
2019-01-07 20:00:00,154.472,14.175833333333337,1.25525,0,20,184.682,12.824166666666663
2019-01-07 21:00:00,132.603,13.14,1.3224166666666666,0,21,154.472,13.86
2019-01-07 22:00:00,113.681,11.824166666666663,0.9163333333333332,0,22,132.603,15.175833333333337
2019-01-07 23:00:00,104.746,10.5575,1.4401666666666666,0,23,113.681,16.442500000000003
2019-01-08 00:00:00,109.503,11.485833333333332,1.5415833333333333,1,0,104.746,15.514166666666668
2019-01-08 01:00:00,103.14,10.685,1.17,1,1,109.503,16.314999999999998
2019-01-08 02:00:00,103.278,10.015833333333331,0.9461666666666666,1,2,103.14,16.984166666666667
2019-01-08 03:00:00,101.687,9.511666666666668,1.0018333333333334,1,3,103.278,17.48833333333333
2019-01-08 04:00:00,101.028,8.655833333333334,1.5374166666666669,1,4,101.687,18.344166666666666
2019-01-08 05:00:00,100.188,9.355,1.2581666666666669,1,5,101.028,17.645
2019-01-08 06:00:00,106.433,8.68,1.0295,1,6,100.188,18.32
2019-01-08 07:00:00,156.619,6.865583333333333,2.4978333333333333,1,7,106.433,20.134416666666667
2019-01-08 08:00:00,203.355,7.0545,71.8525,1,8,156.619,19.9455
2019-01-08 09:00:00,233.734,7.803333333333334,224.8083333333333,1,9,203.355,19.196666666666665
2019-01-08 10:00:00,280.742,8.531666666666666,362.35,1,10,233.734,18.468333333333334
2019-01-08 11:00:00,292.556,9.545833333333333,457.8,1,11,280.742,17.454166666666666
2019-01-08 12:00:00,280.546,10.71,502.0333333333333,1,12,292.556,16.29
2019-01-08 13:00:00,256.623,12.1775,485.39166666666665,1,13,280.546,14.8225
2019-01-08 14:00:00,265.535,14.2525,413.05,1,14,256.623,12.7475
2019-01-08 15:00:00,262.852,15.123333333333331,290.34166666666664,1,15,265.535,11.876666666666669
2019-01-08 16:00:00,252.874,15.486666666666666,135.95333333333335,1,16,262.852,11.513333333333334
2019-01-08 17:00:00,259.291,14.351666666666668,12.93,1,17,252.874,12.648333333333332
2019-01-08 18:00:00,233.343,13.768333333333333,1.3545,1,18,259.291,13.231666666666667
2019-01-08 19:00:00,193.357,13.130833333333332,1.1701666666666666,1,19,233.343,13.869166666666668
2019-01-08 20:00:00,164.58,12.753333333333332,1.2808333333333335,1,20,193.357,14.246666666666668
2019-01-08 21:00:00,124.702,13.14,1.084833333333333,1,21,164.58,13.86
2019-01-08 22:00:00,112.999,13.051666666666668,1.2575833333333335,1,22,124.702,13.948333333333332
2019-01-08 23:00:00,110.086,12.495833333333332,1.0455833333333333,1,23,112.999,14.504166666666668
2019-01-09 00:00:00,104.922,12.038333333333334,0.9441666666666668,2,0,110.086,14.961666666666666
2019-01-09 01:00:00,105.455,11.925,0.9278333333333334,2,1,104.922,15.075
2019-01-09 02:00:00,105.819,10.4175,1.3685,2,2,105.455,16.5825
2019-01-09 03:00:00,107.402,8.813333333333334,1.6713333333333331,2,3,105.819,18.186666666666667
2019-01-09 04:00:00,105.547,8.219166666666666,1.6645,2,4,107.402,18.780833333333334
2019-01-09 05:00:00,103.638,8.839166666666667,1.3550833333333332,2,5,105.547,18.160833333333333
2019-01-09 06:00:00,111.899,7.906833333333334,1.429,2,6,103.638,19.093166666666665
2019-01-09 07:00:00,152.605,8.3175,2.324666666666667,2,7,111.899,18.682499999999997
2019-01-09 08:00:00,195.174,8.0375,66.49416666666667,2,8,152.605,18.9625
2019-01-09 09:00:00,237.115,7.624166666666666,214.49166666666667,2,9,195.174,19.375833333333333
2019-01-09 10:00:00,270.331,9.91,351.2083333333333,2,10,237.115,17.09
2019-01-09 11:00:00,270.645,12.67,448.3333333333333,2,11,270.331,14.33
2019-01-09 12:00:00,271.032,12.99,491.575,2,12,270.645,14.01
2019-01-09 13:00:00,254.411,16.328333333333333,475.8083333333333,2,13,271.032,10.671666666666667
2019-01-09 14:00:00,262.549,16.81,398.8833333333334,2,14,254.411,10.190000000000001
2019-01-09 15:00:00,258.282,17.485833333333332,281.725,2,15,262.549,9.514166666666668
2019-01-09 16:00:00,266.911,17.04,127.33166666666666,2,16,258.282,9.96
2019-01-09 17:00:00,257.033,15.494166666666668,11.329833333333331,2,17,266.911,11.505833333333332
2019-01-09 18:00:00,227.462,13.900833333333331,1.04525,2,18,257.033,13.099166666666669
2019-01-09 19:00:00,169.349,13.430833333333334,1.1815833333333332,2,19,227.462,13.569166666666666
2019-01-09 20:00:00,135.286,12.820833333333333,0.9024166666666668,2,20,169.349,14.179166666666667
2019-01-09 21:00:00,113.835,12.080833333333333,1.8810833333333332,2,21,135.286,14.919166666666667
2019-01-09 22:00:00,112.945,11.706666666666663,2.529666666666667,2,22,113.835,15.293333333333337
2019-01-09 23:00:00,110.293,11.706666666666663,2.584916666666667,2,23,112.945,15.293333333333337
2019-01-10 00:00:00,102.442,10.6975,4.209666666666666,3,0,110.293,16.302500000000002
2019-01-10 01:00:00,102.664,9.525,3.12725,3,1,102.442,17.475
2019-01-10 03:00:00,100.065,9.870833333333334,2.70725,3,3,478.17,17.129166666666666
2019-01-10 04:00:00,100.311,9.885,2.875916666666667,3,4,100.065,17.115000000000002
2019-01-10 05:00:00,100.253,9.800833333333332,2.8826666666666667,3,5,100.311,17.19916666666667
2019-01-10 06:00:00,112.436,9.7125,2.273333333333333,3,6,100.253,17.2875
2019-01-10 07:00:00,148.756,9.228333333333332,2.8553333333333337,3,7,112.436,17.77166666666667
2019-01-10 08:00:00,184.744,9.249166666666666,67.63833333333334,3,8,148.756,17.750833333333333
2019-01-10 09:00:00,228.156,9.513333333333334,217.14166666666665,3,9,184.744,17.486666666666665
